udi,product_id,air_temperature_[k],process_temperature_[k],rotational_speed_[rpm],torque_[nm],tool_wear_[min],machine_failure,twf,hdf,pwf,osf,rnf,temp_diff,power,wear_torque,norm_wear,type_L,type_M
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,1787.5,0.22,False,True
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,2476.6000000000004,0.2230769230769231,False,False
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,2822.3999999999996,0.2625,True,False
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,1995.5,0.26,False,True
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,1747.6,0.2833333333333333,True,False
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,2611.0,0.28,False,True
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,1700.9,0.30416666666666664,True,False
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,2925.0,0.3125,True,False
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,1894.2,0.29615384615384616,False,False
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,3624.4,0.3416666666666667,True,False
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,2528.4,0.35,True,False
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,4145.2,0.344,False,True
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,2269.5,0.37083333333333335,True,False
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,4395.3,0.37916666666666665,True,False
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,3022.5,0.3875,True,False
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,3296.5000000000005,0.38,False,True
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,4762.8,0.392,False,True
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,3706.7000000000003,0.404,False,True
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,4076.8,0.43333333333333335,True,False
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,5374.200000000001,0.4076923076923077,False,False
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,5827.5,0.4625,True,False
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,5130.2,0.4708333333333333,True,False
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,5842.0,0.4791666666666667,True,False
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,5744.7,0.468,False,True
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,5820.0,0.46153846153846156,False,False
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,5937.5,0.5,False,True
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,6284.8,0.5333333333333333,True,False
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,3354.0,0.52,False,True
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,6157.9,0.5541666666666667,True,False
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,7276.5,0.5192307692307693,False,False
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,6174.0,0.56,False,True
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,657.8,0.5958333333333333,True,False
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,7960.5,0.6041666666666666,True,False
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,6438.599999999999,0.5653846153846154,False,False
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,5335.2,0.6333333333333333,True,False
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,4635.400000000001,0.6416666666666667,True,False
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,6349.200000000001,0.65,True,False
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,6699.2,0.6583333333333333,True,False
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,6448.0,0.6666666666666666,True,False
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,4779.0,0.648,False,True
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,8976.0,0.6875,True,False
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,8784.2,0.6958333333333333,True,False
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,6455.8,0.676,False,True
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,3938.7999999999997,0.7166666666666667,True,False
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,4506.599999999999,0.696,False,True
65,L47244,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,6832.2,0.7375,True,False
66,L47245,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,8072.900000000001,0.7458333333333333,True,False
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,5194.7,0.724,False,True
68,H29481,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,8114.400000000001,0.7076923076923077,False,False
69,L47248,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,6123.599999999999,0.7875,True,False
70,L47249,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,12548.7,0.7958333333333333,True,False
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,4361.8,0.772,False,True
72,L47251,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,8918.0,0.8166666666666667,True,False
73,L47252,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,8791.199999999999,0.825,True,False
74,L47253,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,7000.0,0.8333333333333334,True,False
75,L47254,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,6524.599999999999,0.8416666666666667,True,False
76,L47255,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,9526.800000000001,0.85,True,False
77,L47256,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,9867.4,0.8583333333333333,True,False
78,L47257,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,8590.4,0.8666666666666667,True,False
79,L47258,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,0.0,True,False
80,L47259,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,75.8,0.008333333333333333,True,False
81,H29494,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,199.6,0.015384615384615385,False,False
82,L47261,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,427.5,0.0375,True,False
83,L47262,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,448.79999999999995,0.04583333333333333,True,False
84,L47263,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,521.3000000000001,0.05416666666666667,True,False
85,L47264,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,714.0,0.0625,True,False
86,M14945,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,455.6,0.068,False,True
87,H29500,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,878.0,0.07692307692307693,False,False
88,L47267,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,795.0,0.10416666666666667,True,False
89,M14948,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,1220.4,0.108,False,True
90,M14949,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,1185.0,0.12,False,True
91,L47270,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,851.4,0.1375,True,False
92,L47271,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,871.5,0.14583333333333334,True,False
93,M14952,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,1002.7,0.148,False,True
94,L47273,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,1720.0,0.16666666666666666,True,False
95,L47274,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,1339.8,0.175,True,False
96,M14955,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,2296.8,0.176,False,True
97,M14956,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,1659.1,0.188,False,True
98,M14957,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,1495.0,0.2,False,True
99,L47278,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,1733.1000000000001,0.22083333333333333,True,False
100,L47279,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,2442.0,0.22916666666666666,True,False
101,L47280,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,1425.0,0.2375,True,False
102,L47281,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,1221.3,0.24583333333333332,True,False
103,L47282,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,2476.6,0.25416666666666665,True,False
104,M14963,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,2551.5,0.252,False,True
105,L47284,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,2864.4,0.275,True,False
106,L47285,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,2114.8,0.2833333333333333,True,False
107,L47286,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,3395.0,0.2916666666666667,True,False
108,M14967,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,3369.6,0.288,False,True
109,H29522,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,2452.5,0.28846153846153844,False,False
110,L47289,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,2728.0,0.3333333333333333,True,False
111,L47290,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,1845.0,0.3416666666666667,True,False
112,H29525,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,3654.0,0.3230769230769231,False,False
113,M14972,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,3515.5,0.356,False,True
114,M14973,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,3854.7999999999997,0.368,False,True
115,L47294,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,2793.0,0.3958333333333333,True,False
116,L47295,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,4432.900000000001,0.4041666666666667,True,False
117,L47296,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,3375.9,0.4125,True,False
118,L47297,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,3333.0,0.42083333333333334,True,False
119,M14978,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,2894.3,0.412,False,True
120,L47299,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,4314.200000000001,0.44166666666666665,True,False
121,L47300,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,4827.6,0.45,True,False
122,L47301,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,4532.0,0.4583333333333333,True,False
123,L47302,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,5678.400000000001,0.4666666666666667,True,False
124,L47303,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,4947.599999999999,0.475,True,False
125,L47304,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,3410.3999999999996,0.48333333333333334,True,False
126,L47305,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,3799.6000000000004,0.49166666666666664,True,False
127,L47306,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,7260.0,0.5,True,False
128,L47307,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,5673.0,0.5083333333333333,True,False
129,L47308,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,4786.400000000001,0.5166666666666667,True,False
130,L47309,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,4321.799999999999,0.525,True,False
131,L47310,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,5260.8,0.5333333333333333,True,False
132,L47311,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,3601.0,0.5416666666666666,True,False
133,M14992,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,5702.400000000001,0.528,False,True
134,M14993,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,6696.0,0.54,False,True
135,L47314,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,7314.0,0.575,True,False
136,M14995,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,3990.0,0.56,False,True
137,H29550,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,6535.1,0.55,False,False
138,L47317,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,8184.4,0.6166666666666667,True,False
139,H29552,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,7410.0,0.5769230769230769,False,False
140,L47319,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,8649.0,0.6458333333333334,True,False
141,L47320,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,5667.7,0.6541666666666667,True,False
142,L47321,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,5596.8,0.6625,True,False
143,M15002,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,4540.2,0.644,False,True
144,H29557,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,8282.0,0.6307692307692307,False,False
145,M15004,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,7165.599999999999,0.676,False,True
146,L47325,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,5779.2,0.7166666666666667,True,False
147,H29560,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,6281.400000000001,0.6692307692307692,False,False
148,L47327,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,7177.900000000001,0.7458333333333333,True,False
149,M15008,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,8688.0,0.724,False,True
150,L47329,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,7341.599999999999,0.7666666666666667,True,False
151,L47330,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,7942.200000000001,0.775,True,False
152,M15011,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,7068.8,0.752,False,True
153,M15012,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,7831.0,0.764,False,True
154,L47333,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,5238.0,0.8083333333333333,True,False
155,L47334,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,7095.200000000001,0.8166666666666667,True,False
156,H29569,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,3920.4,0.7615384615384615,False,False
157,M15016,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,9338.0,0.812,False,True
158,H29571,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,8961.0,0.7923076923076923,False,False
159,M15018,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,8440.0,0.844,False,True
160,L47339,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,10058.0,0.8916666666666667,True,False
161,L47340,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,13111.2,0.9,True,False
162,L47341,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,11401.4,0.9083333333333333,True,False
163,L47342,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.0,0.0,True,False
164,M15023,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,87.6,0.008,False,True
165,M15024,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,218.0,0.02,False,True
166,L47345,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,208.0,0.03333333333333333,True,False
167,H29580,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,326.0,0.038461538461538464,False,False
168,H29581,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,643.5,0.057692307692307696,False,False
169,L47348,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,1246.0,0.08333333333333333,True,False
170,L47349,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,1300.2,0.09166666666666666,True,False
171,M15030,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,840.0,0.096,False,True
172,L47351,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,1371.6,0.1125,True,False
173,M15032,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,603.2,0.116,False,True
174,M15033,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,1078.4,0.128,False,True
175,L47354,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,2040.5,0.14583333333333334,True,False
176,L47355,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,1609.5,0.15416666666666667,True,False
177,L47356,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,1353.3000000000002,0.1625,True,False
178,L47357,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,877.4,0.17083333333333334,True,False
179,L47358,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,2158.6,0.17916666666666667,True,False
180,L47359,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,2241.0,0.1875,True,False
181,L47360,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,2345.2999999999997,0.19583333333333333,True,False
182,H29595,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,1185.8,0.18846153846153846,False,False
183,M15042,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,2597.4,0.216,False,True
184,L47363,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,2319.9,0.2375,True,False
185,L47364,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,1805.4,0.24583333333333332,True,False
186,L47365,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.200000000004,2330.2000000000003,0.25416666666666665,True,False
187,L47366,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,3528.0,0.2625,True,False
188,L47367,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,2801.5,0.2708333333333333,True,False
189,L47368,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,2251.2000000000003,0.2791666666666667,True,False
190,M15049,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,2994.6,0.276,False,True
191,L47370,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3,3592.7999999999997,0.3,True,False
192,L47371,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006,2560.4,0.30833333333333335,True,False
193,H29606,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4,3936.7999999999997,0.2923076923076923,False,False
194,H29607,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8,2802.6,0.31153846153846154,False,False
195,M15054,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6,920.1999999999999,0.344,False,True
196,L47375,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7,3818.1,0.37083333333333335,True,False
197,H29610,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884.0,4504.5,0.35,False,False
198,M15057,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,62454.299999999996,3926.3999999999996,0.384,False,True
199,L47378,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,55580.0,3465.0,0.4125,True,False
200,L47379,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,67494.3,4757.1,0.42083333333333334,True,False
201,L47380,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,56315.0,3605.0,0.42916666666666664,True,False
202,L47381,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,64890.00000000001,4326.0,0.4375,True,False
203,M15062,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,58405.200000000004,3819.9,0.428,False,True
204,L47383,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,56471.0,4169.0,0.4583333333333333,True,False
205,L47384,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,57104.799999999996,3673.5999999999995,0.4666666666666667,True,False
206,M15065,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,71232.0,6042.0,0.456,False,True
207,L47386,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,56797.7,4130.099999999999,0.4875,True,False
208,M15067,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,86254.7,7223.3,0.476,False,True
209,L47388,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,58389.700000000004,4477.400000000001,0.5083333333333333,True,False
210,L47389,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,64988.0,5456.0,0.5166666666666667,True,False
211,L47390,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,54980.3,4548.6,0.525,True,False
212,L47391,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,53392.5,4339.2,0.5333333333333333,True,False
213,H29626,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,71097.59999999999,6877.0,0.5,False,False
